ElectricLoad_annual_calculated_kwh,ElectricStorage_initial_capital_cost,ElectricStorage_size_kw,ElectricStorage_size_kwh,ElectricTariff_lifecycle_coincident_peak_cost,ElectricTariff_lifecycle_demand_cost,ElectricTariff_lifecycle_energy_cost,ElectricTariff_lifecycle_export_benefit,ElectricTariff_lifecycle_fixed_cost,ElectricTariff_lifecycle_min_charge_adder,ElectricTariff_year_one_bill,ElectricTariff_year_one_coincident_peak_cost,ElectricTariff_year_one_demand_cost,ElectricTariff_year_one_energy_cost,ElectricTariff_year_one_export_benefit,ElectricTariff_year_one_fixed_cost,ElectricTariff_year_one_min_charge_adder,ElectricUtility_year_one_energy_supplied_kwh,Financial_developer_om_and_replacement_present_cost_after_tax,Financial_initial_capital_costs,Financial_initial_capital_costs_after_incentives,Financial_lcc,Financial_lifecycle_capital_costs,Financial_lifecycle_capital_costs_plus_om,Financial_lifecycle_fuel_costs_after_tax,Financial_lifecycle_om_costs_after_tax,Financial_lifecycle_om_costs_before_tax,Financial_om_and_replacement_present_cost_after_tax,Financial_replacement_costs,Financial_year_one_om_costs_after_tax,Financial_year_one_om_costs_before_tax,Generator_average_annual_energy_produced_kwh,Generator_fuel_used_gal,Generator_lifecycle_fixed_om_cost,Generator_lifecycle_fuel_cost,Generator_lifecycle_variable_om_cost,Generator_size_kw,Generator_year_one_energy_produced_kwh,Generator_year_one_fixed_om_cost,Generator_year_one_fuel_cost,Generator_year_one_variable_om_cost,Outages_Generator_mg_kw,Outages_Generator_upgraded,Outages_PV_upgraded,Outages_PVmg_kw,Outages_expected_outage_cost,Outages_mg_Generator_upgrade_cost,Outages_mg_PV_upgrade_cost,Outages_mg_storage_upgrade_cost,Outages_storage_upgraded,PV_average_annual_energy_exported_kwh,PV_average_annual_energy_produced_kwh,PV_lcoe_per_kwh,PV_lifecycle_om_cost,PV_size_kw,PV_year_one_energy_produced_kwh,Uncertainty_ElectricLoad_critical_load_pct,Uncertainty_ElectricUtility_outage_start_timesteps,Uncertainty_Financial_elec_cost_escalation_pct,Uncertainty_Financial_value_of_lost_load_per_kwh,solver_seconds,status
3.505851818e7,3.592565808e7,9291.72,74032.41,0.0,1.5553766e6,1.76724695e6,-0.0,0.0,0.0,284098.5,0.0,132991.34,151107.16,-0.0,0.0,0.0,1.99349811e6,1.740130751e7,9.717542904e7,5.244893895e7,9.190356133e7,6.115969519e7,6.985024646e7,0.0,8.69055127e6,1.174398821e7,1.740130751e7,2.037549021e7,502613.03,679206.8,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000004,1.0,39713.4707,0.0,61167.0,1.023697191e7,8.430572397432722e6,1.0,0.0,6.117351885e7,0.051,8.638375e6,39713.4707,6.4292464e7,0.6947996052003949,1130,-0.00512000487999512,4936.295163704836,66.115,optimal
3.505851818e7,3.592565808e7,9291.72,74032.41,0.0,1.5553766e6,1.76724695e6,-0.0,0.0,0.0,284098.5,0.0,132991.34,151107.16,-0.0,0.0,0.0,1.99349811e6,1.740130751e7,9.717542904e7,5.244893895e7,9.190356133e7,6.115969519e7,6.985024646e7,0.0,8.69055127e6,1.174398821e7,1.740130751e7,2.037549021e7,502613.03,679206.8,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000004,1.0,39713.4707,0.0,61167.0,1.023697191e7,8.430572397432722e6,1.0,0.0,6.117351885e7,0.051,8.638375e6,39713.4707,6.4292464e7,0.6947996052003949,1130,-0.00512000487999512,4936.295163704836,66.112,optimal
3.505851818e7,5.791395222e7,9337.82,130611.19,0.0,1.8890987e6,3.66663274e6,-0.0,0.0,0.0,419074.05,0.0,142496.49,276577.56,-0.0,0.0,0.0,3.64878047e6,1.925568154e7,9.372543369e7,5.058770898e7,9.517045848e7,6.462851256e7,6.984339052e7,0.0,5.21487796e6,7.04713237e6,1.925568154e7,3.284310204e7,301599.47,407566.85,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000004,1.0,23734.6498,0.0,61167.0,6.11809895e6,1.3590090571950572e7,1.0,0.0,3.645880814e7,0.0499,5.162702e6,23734.6498,3.8424219e7,0.9656993343006657,5788,0.004719985280014721,638.999461000539,39.751,optimal
3.505851818e7,1.794176996e7,6776.36,32706.42,0.0,5.48058742e6,1.317974623e7,-0.0,0.0,0.0,1.39363877e6,0.0,409315.25,984323.52,-0.0,0.0,0.0,1.298579841e7,8.3211839e6,4.464493987e7,2.409647017e7,5.999494839e7,2.84472597e7,3.241765407e7,0.0,3.97039437e6,5.3653978e6,8.3211839e6,1.017701185e7,229625.47,310304.7,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000029,1.0,18013.3468,0.0,61167.0,4.64331427e6,4.210499397443087e6,1.0,0.0,2.766430339e7,0.049,3.918218e6,18013.3468,2.9161955e7,0.3678999321000679,683,0.029039960960039038,1349.4987505012496,68.27,optimal
3.505851818e7,5.791395222e7,9337.82,130611.19,0.0,1.8890987e6,3.66663274e6,-0.0,0.0,0.0,419074.05,0.0,142496.49,276577.56,-0.0,0.0,0.0,3.64878047e6,1.925568154e7,9.372543369e7,5.058770898e7,9.517045848e7,6.462851256e7,6.984339052e7,0.0,5.21487796e6,7.04713237e6,1.925568154e7,3.284310204e7,301599.47,407566.85,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000004,1.0,23734.6498,0.0,61167.0,6.11809895e6,1.3590090571950572e7,1.0,0.0,3.645880814e7,0.0499,5.162702e6,23734.6498,3.8424219e7,0.9677993322006677,2848,0.02815996184003816,3868.0962319037685,39.746,optimal
3.505851818e7,6.95785566e7,10000.0,159351.95,0.0,627491.33,1.39723781e6,-0.0,0.0,0.0,196940.38999999998,0.0,61034.53,135905.86,-0.0,0.0,0.0,1.79295336e6,2.312917278e7,1.1304412894e8,6.101484241e7,1.0991653105e8,7.788334655e7,8.414401519e7,0.0,6.26066864e6,8.46036303e6,2.312917278e7,3.945742845e7,362082.17,489300.23,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000004,1.0,28542.4958,0.0,61167.0,7.35742112e6,1.6327218600482149e7,1.0,0.0,4.409474054e7,0.0503,6.208493e6,28542.4958,4.6207681e7,0.3678999321000679,683,0.029039960960039038,1349.4987505012496,49.65,optimal
3.505851818e7,5.791395222e7,9337.82,130611.19,0.0,1.8890987e6,3.66663274e6,-0.0,0.0,0.0,419074.05,0.0,142496.49,276577.56,-0.0,0.0,0.0,3.64878047e6,1.925568154e7,9.372543369e7,5.058770898e7,9.517045848e7,6.462851256e7,6.984339052e7,0.0,5.21487796e6,7.04713237e6,1.925568154e7,3.284310204e7,301599.47,407566.85,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000004,1.0,23734.6498,0.0,61167.0,6.11809895e6,1.3590090571950572e7,1.0,0.0,3.645880814e7,0.0499,5.162702e6,23734.6498,3.8424219e7,0.3678999321000679,683,0.029039960960039038,1349.4987505012496,39.832,optimal
3.505851818e7,5.791395222e7,9337.82,130611.19,0.0,1.8890987e6,3.66663274e6,-0.0,0.0,0.0,419074.05,0.0,142496.49,276577.56,-0.0,0.0,0.0,3.64878047e6,1.925568154e7,9.372543369e7,5.058770898e7,9.517045848e7,6.462851256e7,6.984339052e7,0.0,5.21487796e6,7.04713237e6,1.925568154e7,3.284310204e7,301599.47,407566.85,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000004,1.0,23734.6498,0.0,61167.0,6.11809895e6,1.3590090571950572e7,1.0,0.0,3.645880814e7,0.0499,5.162702e6,23734.6498,3.8424219e7,0.3678999321000679,683,0.029039960960039038,1349.4987505012496,39.783,optimal
3.505851818e7,3.2672070779999997e7,6810.18,70603.56,0.0,2.85315417e6,6.29172941e6,-0.0,0.0,0.0,953529.4,0.0,297496.01,656033.39,-0.0,0.0,0.0,8.65479404e6,1.222148905e7,6.178772369e7,3.334933069e7,6.747972733e7,4.127080418e7,4.557081974e7,0.0,4.30001556e6,5.81083184e6,1.222148905e7,1.852926441e7,248688.93,336066.12,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000004,1.0,19528.7245,0.0,61167.0,5.03393435e6,7.666942662472526e6,1.0,0.0,3.021782236e7,0.0493,4.24784e6,19528.7245,3.1615212e7,0.5694997305002695,2797,-0.002040007959992039,4289.49581050419,46.998,optimal
3.505851818e7,8.270937675999999e7,10000.0,193194.27,0.0,321746.1,1.13299597e6,-0.0,0.0,0.0,119062.46,0.0,26333.11,92729.35,-0.0,0.0,0.0,1.22334236e6,2.702445634e7,1.3138843931e8,7.091613353e7,1.2706839291e8,9.096759407e7,9.794058987e7,0.0,6.9729958e6,9.4229673e6,2.702445634e7,4.690274035e7,403279.2,544971.89,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000002,1.0,31817.2995,0.0,61167.0,8.2015698e6,1.9408344171627823e7,1.0,0.0,4.896261794e7,0.0506,6.92082e6,31817.2995,5.1509287e7,0.5631997368002633,2519,0.013999976000024,4720.6953793046205,30.123,optimal
3.505851818e7,3.2672070779999997e7,6810.18,70603.56,0.0,2.85315417e6,6.29172941e6,-0.0,0.0,0.0,953529.4,0.0,297496.01,656033.39,-0.0,0.0,0.0,8.65479404e6,1.222148905e7,6.178772369e7,3.334933069e7,6.747972733e7,4.127080418e7,4.557081974e7,0.0,4.30001556e6,5.81083184e6,1.222148905e7,1.852926441e7,248688.93,336066.12,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000004,1.0,19528.7245,0.0,61167.0,5.03393435e6,7.666942662472526e6,1.0,0.0,3.021782236e7,0.0493,4.24784e6,19528.7245,3.1615212e7,0.8095994904005095,6537,0.020839969160030843,4093.4960065039936,46.996,optimal
3.505851818e7,3.272194476e7,7752.56,68849.77,0.0,2.79161325e6,4.41794224e6,-0.0,0.0,0.0,635664.31,0.0,246135.69,389528.62,-0.0,0.0,0.0,5.13890001e6,1.343935395e7,7.066093846e7,3.813839321e7,7.299174058e7,4.607218397e7,5.157774715e7,0.0,5.50556318e6,7.43995025e6,1.343935395e7,1.855807597e7,318411.08,430285.24,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000002,1.0,25071.026,0.0,61167.0,6.46257768e6,7.678713266541933e6,1.0,0.0,3.864537568e7,0.05,5.453387e6,25071.026,4.058769e7,0.5631997368002633,2519,0.013999976000024,4720.6953793046205,37.174,optimal
3.505851818e7,3.2672070779999997e7,6810.18,70603.56,0.0,2.85315417e6,6.29172941e6,-0.0,0.0,0.0,953529.4,0.0,297496.01,656033.39,-0.0,0.0,0.0,8.65479404e6,1.222148905e7,6.178772369e7,3.334933069e7,6.747972733e7,4.127080418e7,4.557081974e7,0.0,4.30001556e6,5.81083184e6,1.222148905e7,1.852926441e7,248688.93,336066.12,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000004,1.0,19528.7245,0.0,61167.0,5.03393435e6,7.666942662472526e6,1.0,0.0,3.021782236e7,0.0493,4.24784e6,19528.7245,3.1615212e7,0.5694997305002695,2797,-0.002040007959992039,4289.49581050419,46.17,optimal
3.505851818e7,3.2672070779999997e7,6810.18,70603.56,0.0,2.85315417e6,6.29172941e6,-0.0,0.0,0.0,953529.4,0.0,297496.01,656033.39,-0.0,0.0,0.0,8.65479404e6,1.222148905e7,6.178772369e7,3.334933069e7,6.747972733e7,4.127080418e7,4.557081974e7,0.0,4.30001556e6,5.81083184e6,1.222148905e7,1.852926441e7,248688.93,336066.12,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000004,1.0,19528.7245,0.0,61167.0,5.03393435e6,7.666942662472526e6,1.0,0.0,3.021782236e7,0.0493,4.24784e6,19528.7245,3.1615212e7,0.5694997305002695,2797,-0.002040007959992039,4289.49581050419,46.273,optimal
3.505851818e7,3.8611898660000004e7,9260.5,81018.07,0.0,2.63616639e6,3.90211351e6,-0.0,0.0,0.0,559293.6,0.0,225501.36,333792.24,-0.0,0.0,0.0,4.40359161e6,1.455566969e7,7.426888295e7,4.008589237e7,7.639696269e7,4.944779325e7,5.464156206e7,0.0,5.19376881e6,7.01860649e6,1.455566969e7,2.189859464e7,300378.63,405917.07,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000002,1.0,23637.604,0.0,61167.0,6.09308339e6,9.06089033727374e6,1.0,0.0,3.641104725e7,0.0499,5.141593e6,23637.604,3.8267111e7,0.6856996143003857,380,0.016799973200026803,967.2991327008673,33.348,optimal
3.505851818e7,1.010973176e7,2351.4,21359.27,0.0,6.50950468e6,1.961738747e7,-0.0,0.0,0.0,2.05107266e6,0.0,511023.93,1.54004873e6,-0.0,0.0,0.0,2.03172656e7,4.68067277e6,2.407115041e7,1.299207648e7,4.881540847e7,1.544328106e7,1.767274924e7,0.0,2.22946819e6,3.01279485e6,4.68067277e6,5.73365774e6,128940.01,174243.26,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,0.9999999999999963,1.0,10009.7327,0.0,61167.0,2.58021652e6,2.3724035541434498e6,1.0,0.0,1.538944797e7,0.0461,2.177292e6,10009.7327,1.6204839e7,0.6163996836003164,4583,0.028639961360038636,1114.2989857010143,36.398,optimal
3.505851818e7,3.8611898660000004e7,9260.5,81018.07,0.0,2.63616639e6,3.90211351e6,-0.0,0.0,0.0,559293.6,0.0,225501.36,333792.24,-0.0,0.0,0.0,4.40359161e6,1.455566969e7,7.426888295e7,4.008589237e7,7.639696269e7,4.944779325e7,5.464156206e7,0.0,5.19376881e6,7.01860649e6,1.455566969e7,2.189859464e7,300378.63,405917.07,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000002,1.0,23637.604,0.0,61167.0,6.09308339e6,9.06089033727374e6,1.0,0.0,3.641104725e7,0.0499,5.141593e6,23637.604,3.8267111e7,0.3447999552000448,3749,0.024599965400034597,4098.396001603998,70.031,optimal
3.505851818e7,2.320659134e7,6110.06,47606.43,0.0,4.83490224e6,1.094853794e7,-0.0,0.0,0.0,1.18412394e6,0.0,362729.76,821394.18,-0.0,0.0,0.0,1.083633478e7,9.63601419e6,5.019360069e7,2.709139198e7,6.270909806e7,3.271822988e7,3.672740617e7,0.0,4.00917628e6,5.41780579e6,9.63601419e6,1.31618401e7,231868.4,313335.68,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0,1.0,18191.64,0.0,61167.0,4.68927306e6,5.445831659402378e6,1.0,0.0,2.794088352e7,0.049,3.957e6,18191.64,2.9450595e7,0.6163996836003164,4583,0.028639961360038636,1114.2989857010143,66.972,optimal
3.505851818e7,3.8611898660000004e7,9260.5,81018.07,0.0,2.63616639e6,3.90211351e6,-0.0,0.0,0.0,559293.6,0.0,225501.36,333792.24,-0.0,0.0,0.0,4.40359161e6,1.455566969e7,7.426888295e7,4.008589237e7,7.639696269e7,4.944779325e7,5.464156206e7,0.0,5.19376881e6,7.01860649e6,1.455566969e7,2.189859464e7,300378.63,405917.07,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000002,1.0,23637.604,0.0,61167.0,6.09308339e6,9.06089033727374e6,1.0,0.0,3.641104725e7,0.0499,5.141593e6,23637.604,3.8267111e7,0.3447999552000448,3749,0.024599965400034597,4098.396001603998,70.031,optimal
3.505851818e7,3.8611898660000004e7,9260.5,81018.07,0.0,2.63616639e6,3.90211351e6,-0.0,0.0,0.0,559293.6,0.0,225501.36,333792.24,-0.0,0.0,0.0,4.40359161e6,1.455566969e7,7.426888295e7,4.008589237e7,7.639696269e7,4.944779325e7,5.464156206e7,0.0,5.19376881e6,7.01860649e6,1.455566969e7,2.189859464e7,300378.63,405917.07,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000002,1.0,23637.604,0.0,61167.0,6.09308339e6,9.06089033727374e6,1.0,0.0,3.641104725e7,0.0499,5.141593e6,23637.604,3.8267111e7,0.3447999552000448,3749,0.024599965400034597,4098.396001603998,70.032,optimal
3.505851818e7,4.5955805160000004e7,10000.0,98468.57,0.0,1.39736361e6,1.75674327e6,-0.0,0.0,0.0,269455.34,0.0,119376.77,150078.57,-0.0,0.0,0.0,1.97992841e6,1.800242696e7,9.380901459e7,5.063238147e7,9.070409309e7,6.177465006e7,6.863480843e7,0.0,6.86015837e6,9.27048428e6,1.800242696e7,2.606308551e7,396753.31,536153.12,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,0.9999999999999994,1.0,31298.5485,0.0,61167.0,8.06785095e6,1.0784179823258994e7,1.0,0.0,4.82104721e7,0.0505,6.807982e6,31298.5485,5.0669477e7,0.8389994610005389,8272,0.01691997308002692,2794.997305002695,71.952,optimal
3.505851818e7,4.151480372e7,10000.0,87022.69,0.0,1.33321015e6,1.60033537e6,-0.0,0.0,0.0,327600.2,0.0,148884.66,178715.54,-0.0,0.0,0.0,2.35772486e6,1.668167847e7,8.758047308e7,4.727054393e7,8.44694402e7,5.733629841e7,6.395222241e7,0.0,6.615924e6,8.94043784e6,1.668167847e7,2.354499152e7,382628.16,517065.08,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000004,1.0,30175.7223,0.0,61167.0,7.77841916e6,9.742106112494746e6,1.0,0.0,4.676682913e7,0.0505,6.563748e6,30175.7223,4.8851724e7,0.49319980680019315,2385,0.02447996552003448,4946.095153904846,15.408,optimal
